iteration,global_step,wall_time_s,HV,EU,CCS_size,mean_return_r1,mean_return_r2,mean_return_r3
1,10000,9000,1581.7405104398918,-0.0709690557171889,3,32.0,-48.5,-59.5
2,20000,18000,1539.299329732912,-0.08067387480369433,4,34.0,-47.0,-59.0
3,30000,27000,1470.1046239897055,-0.07819784783430568,4,36.0,-45.5,-58.5
4,40000,36000,2106.3974726695183,-0.08520914779843256,5,38.0,-44.0,-58.0
5,50000,45000,2072.435727136191,-0.06573480844728355,6,40.0,-42.5,-57.5
6,60000,54000,2716.126802552484,-0.04356037036330091,6,42.0,-41.0,-57.0
7,70000,63000,2815.89781595778,-0.04682522372791501,7,44.0,-39.5,-56.5
8,80000,72000,3007.4529333748374,-0.008102146928332866,7,46.0,-38.0,-56.0
9,90000,81000,3139.2824948664593,-0.0386834582913873,8,48.0,-36.5,-55.5
10,100000,90000,3285.7609739577692,-0.027861315948028133,9,50.0,-35.0,-55.0
11,110000,99000,3793.4071675214514,0.025191631029129975,9,52.0,-33.5,-54.5
12,120000,108000,3817.2703971617207,0.021735545066264003,10,54.0,-32.0,-54.0
13,130000,117000,4130.383938066649,0.003953041388033576,10,56.0,-30.5,-53.5
14,140000,126000,4073.4499888938753,-0.006513152914051653,11,58.0,-29.0,-53.0
15,150000,135000,4993.2453014132725,0.030555814993189184,12,60.0,-27.5,-52.5
16,160000,144000,5036.708705715004,-0.0018681389396160777,12,62.0,-26.0,-52.0
17,170000,153000,5860.453395486874,0.01023388404202405,13,64.0,-24.5,-51.5
18,180000,162000,5493.7043318113,0.04144056050150227,13,66.0,-23.0,-51.0
19,190000,171000,5868.842013470137,0.08933433026278775,14,68.0,-21.5,-50.5
20,200000,180000,5862.7323662602685,0.0631668171395999,15,70.0,-20.0,-50.0
